Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Attention Layers,Output Features,Training Dataset,First Layer Parameters,Highest Internal Layer Parameters,Lowest Internal Layer Parameters,Last Layer Parameters,Family,Architecture,Crop Percentage
eca_nfnet_l2,56722348,502,0,153,1,0,3,0,0,0,1000,ImageNet-1K,97680,48826932,4724736,3073000,nfnet,eca_nfnet_l2,1.0
eca_resnet33ts,19676302,289,0,38,1,10,0,38,0,0,1000,ImageNet-1K,26232,16363566,1966080,1281000,resnet,eca_resnet33ts,0.9
eca_resnext26ts,10297988,238,0,31,1,8,1,31,0,0,1000,ImageNet-1K,26232,8192036,8192036,2049000,resnext,eca_resnext26ts,0.9
ecaresnet26t,16011916,156,8,31,1,8,4,31,0,0,1000,ImageNet-1K,26104,10502158,128,2049000,resnet,ecaresnet26t,0.95
ecaresnet50d,25576350,276,16,55,1,16,4,55,0,0,1000,ImageNet-1K,28640,14964757,128,2049000,resnet,ecaresnet50d,0.875
ecaresnet50d_pruned,19939713,276,16,55,1,16,4,55,0,0,1000,ImageNet-1K,28640,12241013,128,2023000,resnet,ecaresnet50d_pruned,0.875
ecaresnet50t,25573814,276,16,55,1,16,4,55,0,0,1000,ImageNet-1K,26104,14964757,128,2049000,resnet,ecaresnet50t,0.95
ecaresnet101d,44568563,531,33,106,1,33,4,106,0,0,1000,ImageNet-1K,28640,26090611,128,2049000,resnet,ecaresnet101d,0.875
ecaresnet101d_pruned,24876040,531,33,106,1,33,4,106,0,0,1000,ImageNet-1K,28640,11450552,128,2043000,resnet,ecaresnet101d_pruned,0.875
ecaresnet269d,102093077,1371,89,274,1,89,4,274,0,0,1000,ImageNet-1K,28640,54020336,128,2049000,resnet,ecaresnet269d,1.0
ecaresnetlight,30162046,269,16,53,1,16,4,53,0,0,1000,ImageNet-1K,9408,14964757,128,2049000,resnet,ecaresnetlight,0.875
edgenext_base,18511292,238,0,26,43,0,0,26,0,0,1000,ImageNet-1K,4080,17914924,17914924,586168,edgenext,edgenext_base,0.95
edgenext_small,5586832,238,0,26,43,0,0,26,0,0,1000,ImageNet-1K,2448,5275408,5275408,305608,edgenext,edgenext_small,0.95
edgenext_small_rw,7826512,232,0,23,43,0,0,23,0,0,1000,ImageNet-1K,11760,7424976,7424976,385768,edgenext,edgenext_small_rw,0.9
edgenext_x_small,2336804,238,0,26,43,0,0,26,0,0,1000,ImageNet-1K,1632,2139656,2139656,193384,edgenext,edgenext_x_small,0.9
edgenext_xx_small,1327216,178,0,20,31,0,0,20,0,0,1000,ImageNet-1K,1224,1155332,1155332,169336,edgenext,edgenext_xx_small,0.9
efficientformer_l1,12289928,228,0,33,6,0,14,36,0,1,1000,ImageNet-1K,11232,11379408,896,449000,efficientformer,efficientformer_l1,0.95
efficientformer_l3,31406000,377,0,49,18,0,22,58,0,4,1000,ImageNet-1K,19584,30357824,1024,513000,efficientformer,efficientformer_l3,0.95
efficientformer_l7,82229328,541,0,65,34,0,30,82,0,8,1000,ImageNet-1K,43200,80643456,1536,769000,efficientformer,efficientformer_l7,0.95
efficientnet_b0,5288548,321,0,81,1,0,0,49,0,0,1000,ImageNet-1K,864,3555068,409600,1281000,efficientnet,efficientnet_b0,0.875
efficientnet_b1,7794184,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,6040672,409600,1281000,efficientnet,efficientnet_b1,1.0
efficientnet_b1_pruned,6331916,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,4596406,409600,1281000,efficientnet,efficientnet_b1_pruned,0.882
efficientnet_b2,9109994,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,7136946,495616,1409000,efficientnet,efficientnet_b2,1.0
efficientnet_b2_pruned,8309737,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,6348103,495616,1409000,efficientnet,efficientnet_b2_pruned,0.89
efficientnet_b3,12233232,507,0,130,1,0,0,78,0,0,1000,ImageNet-1K,1080,10018032,589824,1537000,efficientnet,efficientnet_b3,1.0
efficientnet_b3_pruned,9855020,507,0,130,1,0,0,78,0,0,1000,ImageNet-1K,1080,7665274,589824,1537000,efficientnet,efficientnet_b3_pruned,0.904
efficientnet_b4,19341616,621,0,160,1,0,0,96,0,0,1000,ImageNet-1K,1296,16619304,802816,1793000,efficientnet,efficientnet_b4,1.0
efficientnet_el,10589712,381,0,72,1,0,0,72,0,0,1000,ImageNet-1K,1080,8603072,356352,1537000,efficientnet,efficientnet_el,0.904
efficientnet_el_pruned,10589712,381,0,72,1,0,0,72,0,0,1000,ImageNet-1K,1080,8603072,356352,1537000,efficientnet,efficientnet_el_pruned,0.904
efficientnet_em,6899496,340,0,64,1,0,0,64,0,0,1000,ImageNet-1K,864,5304064,245760,1281000,efficientnet,efficientnet_em,0.882
efficientnet_es,5438392,262,0,49,1,0,0,49,0,0,1000,ImageNet-1K,864,3859328,245760,1281000,efficientnet,efficientnet_es,0.875
efficientnet_es_pruned,5438392,262,0,49,1,0,0,49,0,0,1000,ImageNet-1K,864,3859328,245760,1281000,efficientnet,efficientnet_es_pruned,0.875
efficientnet_lite0,4652008,257,0,49,1,0,0,49,0,0,1000,ImageNet-1K,864,2918528,409600,1281000,efficientnet,efficientnet_lite0,0.875
efficientnetv2_rw_m,53236442,1056,0,263,1,0,0,169,0,0,1000,ImageNet-1K,864,50069490,705856,2153000,efficientnetv2,efficientnetv2_rw_m,1.0
efficientnetv2_rw_s,23941296,700,0,172,1,0,0,112,0,0,1000,ImageNet-1K,648,21499376,487424,1793000,efficientnetv2,efficientnetv2_rw_s,1.0
efficientnetv2_rw_t,13649388,671,0,165,1,0,0,107,0,0,1000,ImageNet-1K,648,12291724,212992,1025000,efficientnetv2,efficientnetv2_rw_t,1.0
ens_adv_inception_resnet_v2,55843464,1008,0,244,1,0,5,204,0,0,1000,ImageNet-1K,928,22535680,5280,1537000,inception_resnet,ens_adv_inception_resnet_v2,0.8975
ese_vovnet19b_dw,6543080,169,0,41,1,0,3,23,0,0,1000,ImageNet-1K,11456,5495872,5495872,1025000,vovnet,ese_vovnet19b_dw,0.875
ese_vovnet39b,24568936,239,0,43,1,0,3,39,0,0,1000,ImageNet-1K,112832,23411200,23411200,1025000,vovnet,ese_vovnet39b,0.875
fbnetc_100,5572200,336,0,65,1,0,0,65,0,0,1000,ImageNet-1K,432,2844032,698368,1985000,fbnet,fbnetc_100,0.875
fbnetv3_b,8598464,525,0,124,1,0,0,87,0,0,1000,ImageNet-1K,432,3900136,2666496,1985000,fbnet,fbnetv3_b,0.95
fbnetv3_d,10306272,574,0,135,1,0,0,96,0,0,1000,ImageNet-1K,648,5407056,2856960,1985000,fbnet,fbnetv3_d,0.95
fbnetv3_g,16623888,646,0,154,1,0,0,107,0,0,1000,ImageNet-1K,864,11118808,3428352,1985000,fbnet,fbnetv3_g,0.95
gc_efficientnetv2_rw_t,13677713,787,0,194,1,0,0,136,0,0,1000,ImageNet-1K,648,12320049,212992,1025000,efficientnetv2,gc_efficientnetv2_rw_t,1.0
gcresnet33ts,19880698,349,0,68,1,10,0,48,0,0,1000,ImageNet-1K,26232,16567962,1966080,1281000,resnet,gcresnet33ts,0.9
gcresnet50t,25897080,525,0,103,1,16,0,71,0,0,1000,ImageNet-1K,26232,23768856,23768856,2049000,resnet,gcresnet50t,0.9
gcresnext26ts,10476600,286,0,55,1,8,1,39,0,0,1000,ImageNet-1K,26232,8370648,8370648,2049000,resnext,gcresnext26ts,0.9
gcresnext50ts,15667320,526,0,103,1,16,1,71,0,0,1000,ImageNet-1K,26232,13539096,13539096,2049000,resnext,gcresnext50ts,0.9
gcvit_base,90320836,755,0,49,125,0,5,71,0,31,1000,ImageNet-1K,177280,89118556,89118556,1025000,gcvit,gcvit_base,0.875
gcvit_small,51092173,755,0,49,125,0,5,71,0,31,1000,ImageNet-1K,100704,50222469,50222469,769000,gcvit,gcvit_small,0.875
gcvit_tiny,28221974,755,0,49,125,0,5,71,0,31,1000,ImageNet-1K,45632,27663342,27663342,513000,gcvit,gcvit_tiny,0.875
gcvit_xtiny,19981294,508,0,49,73,0,5,45,0,18,1000,ImageNet-1K,45632,19422662,19422662,513000,gcvit,gcvit_xtiny,0.875
gcvit_xxtiny,11995428,394,0,49,49,0,5,33,0,12,1000,ImageNet-1K,45632,11436796,11436796,513000,gcvit,gcvit_xxtiny,0.875
gernet_l,31078280,417,3,57,1,15,0,57,0,0,1000,ImageNet-1K,928,26775424,1638400,2561000,gernet,gernet_l,0.875
gernet_m,21142920,329,3,45,1,11,0,45,0,0,1000,ImageNet-1K,928,16875904,1638400,2561000,gernet,gernet_m,0.875
gernet_s,8173761,327,4,45,1,10,0,45,0,0,1000,ImageNet-1K,377,5726336,491520,1921000,gernet,gernet_s,0.875
ghostnet_100,5182508,411,0,95,1,16,0,80,0,0,1000,ImageNet-1K,432,2669044,32,1281000,ghostnet,ghostnet_100,0.875
gluon_inception_v3,23834568,300,0,94,1,0,2,94,0,0,1000,ImageNet-1K,928,6076800,5280,2049000,inception_v3,gluon_inception_v3,0.875
gluon_resnet18_v1b,11689512,94,8,20,1,0,1,20,0,0,1000,ImageNet-1K,9408,8393728,128,513000,resnet,gluon_resnet18_v1b,0.875
gluon_resnet34_v1b,21797672,166,16,36,1,0,1,36,0,0,1000,ImageNet-1K,9408,13114368,128,513000,resnet,gluon_resnet34_v1b,0.875
gluon_resnet50_v1b,25557032,217,16,53,1,16,1,53,0,0,1000,ImageNet-1K,9408,14964736,128,2049000,resnet,gluon_resnet50_v1b,0.875
gluon_resnet50_v1c,25576264,224,16,55,1,16,1,55,0,0,1000,ImageNet-1K,28640,14964736,128,2049000,resnet,gluon_resnet50_v1c,0.875
gluon_resnet50_v1d,25576264,228,16,55,1,16,4,55,0,0,1000,ImageNet-1K,28640,14964736,128,2049000,resnet,gluon_resnet50_v1d,0.875
gluon_resnet50_v1s,25680808,224,16,55,1,16,1,55,0,0,1000,ImageNet-1K,112576,14964736,256,2049000,resnet,gluon_resnet50_v1s,0.875
gluon_resnet101_v1b,44549160,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,26090496,128,2049000,resnet,gluon_resnet101_v1b,0.875
gluon_resnet101_v1c,44568392,428,33,106,1,33,1,106,0,0,1000,ImageNet-1K,28640,26090496,128,2049000,resnet,gluon_resnet101_v1c,0.875
gluon_resnet101_v1d,44568392,432,33,106,1,33,4,106,0,0,1000,ImageNet-1K,28640,26090496,128,2049000,resnet,gluon_resnet101_v1d,0.875
gluon_resnet101_v1s,44672936,428,33,106,1,33,1,106,0,0,1000,ImageNet-1K,112576,26090496,256,2049000,resnet,gluon_resnet101_v1s,0.875
gluon_resnet152_v1b,60192808,625,50,155,1,50,1,155,0,0,1000,ImageNet-1K,9408,40613888,128,2049000,resnet,gluon_resnet152_v1b,0.875
gluon_resnet152_v1c,60212040,632,50,157,1,50,1,157,0,0,1000,ImageNet-1K,28640,40613888,128,2049000,resnet,gluon_resnet152_v1c,0.875
gluon_resnet152_v1d,60212040,636,50,157,1,50,4,157,0,0,1000,ImageNet-1K,28640,40613888,128,2049000,resnet,gluon_resnet152_v1d,0.875
gluon_resnet152_v1s,60316584,632,50,157,1,50,1,157,0,0,1000,ImageNet-1K,112576,40613888,256,2049000,resnet,gluon_resnet152_v1s,0.875
gluon_resnext50_32x4d,25028904,217,16,53,1,16,1,53,0,0,1000,ImageNet-1K,9408,14544896,128,2049000,resnext,gluon_resnext50_32x4d,0.875
gluon_resnext101_32x4d,44177704,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,26171392,128,2049000,resnext,gluon_resnext101_32x4d,0.875
gluon_resnext101_64x4d,83455272,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,51769344,128,2049000,resnext,gluon_resnext101_64x4d,0.875
gluon_senet154,115088984,932,50,257,1,50,1,157,0,0,1000,ImageNet-1K,112576,68677888,256,2049000,senet,gluon_senet154,0.875
gluon_seresnext50_32x4d,27559896,313,16,85,1,16,1,53,0,0,1000,ImageNet-1K,9408,16124288,128,2049000,resnext,gluon_seresnext50_32x4d,0.875
gluon_seresnext101_32x4d,48955416,619,33,170,1,33,1,104,0,0,1000,ImageNet-1K,9408,29211072,128,2049000,resnext,gluon_seresnext101_32x4d,0.875
gluon_seresnext101_64x4d,88232984,619,33,170,1,33,1,104,0,0,1000,ImageNet-1K,9408,54809024,128,2049000,resnext,gluon_seresnext101_64x4d,0.875
gluon_xception65,39916312,442,0,132,1,0,0,132,0,0,1000,ImageNet-1K,864,25893504,64,2049000,xception,gluon_xception65,0.903
gmixer_24_224,24721096,391,0,1,97,0,0,49,0,0,1000,ImageNet-1K,295296,24040032,768,385000,mixer,gmixer_24_224,0.875
gmlp_s16_224,19422656,367,0,1,91,0,0,61,0,0,1000,ImageNet-1K,196864,18968280,512,257000,gm,gmlp_s16_224,0.875
halo2botnet50ts_256,22635360,402,0,60,1,11,0,55,0,0,1000,ImageNet-1K,26232,20507136,20507136,2049000,botnet,halo2botnet50ts_256,0.95
halonet26t,12480288,225,0,34,1,5,1,31,0,0,1000,ImageNet-1K,26232,10374336,10374336,2049000,halonet,halonet26t,0.95
halonet50ts,22733280,403,0,60,1,11,1,55,0,0,1000,ImageNet-1K,26232,20605056,20605056,2049000,halonet,halonet50ts,0.94
haloregnetz_b,11680072,592,0,107,1,17,1,68,0,0,1000,ImageNet-1K,928,9650048,442368,1537000,regnetz,haloregnetz_b,0.94
hardcorenas_a,5260232,219,0,51,1,0,0,34,0,0,1000,ImageNet-1K,864,2727904,1230080,1281000,hardcorenas,hardcorenas_a,0.875
hardcorenas_b,5176544,308,0,64,1,0,0,55,0,0,1000,ImageNet-1K,864,2639480,1230080,1281000,hardcorenas,hardcorenas_b,0.875
hardcorenas_c,5521224,316,0,68,1,0,0,55,0,0,1000,ImageNet-1K,864,2981856,1230080,1281000,hardcorenas,hardcorenas_c,0.875
hardcorenas_d,7500208,360,0,90,1,0,0,55,0,0,1000,ImageNet-1K,864,4955096,1230080,1281000,hardcorenas,hardcorenas_d,0.875
hardcorenas_e,8070992,341,0,85,1,0,0,52,0,0,1000,ImageNet-1K,864,5523272,1230080,1281000,hardcorenas,hardcorenas_e,0.875
hardcorenas_f,8199688,341,0,85,1,0,0,52,0,0,1000,ImageNet-1K,864,5650368,1230080,1281000,hardcorenas,hardcorenas_f,0.875
hrnet_w18,21299004,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,6708636,128,2049000,hrnet,hrnet_w18,0.875
hrnet_w18_small,13187464,440,23,91,1,5,0,91,0,0,1000,ImageNet-1K,1728,6198528,128,2049000,hrnet,hrnet_w18_small,0.875
hrnet_w18_small_v2,15597464,794,44,164,1,6,0,164,0,0,1000,ImageNet-1K,1728,6198528,128,2049000,hrnet,hrnet_w18_small_v2,0.875
hrnet_w30,37712220,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,18614700,128,2049000,hrnet,hrnet_w30,0.875
hrnet_w32,41232680,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,21177216,128,2049000,hrnet,hrnet_w32,0.875
hrnet_w40,57557160,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,33079200,128,2049000,hrnet,hrnet_w40,0.875
hrnet_w44,67064984,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,40021344,128,2049000,hrnet,hrnet_w44,0.875
hrnet_w48,77469864,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,47624256,128,2049000,hrnet,hrnet_w48,0.875
hrnet_w64,128059944,1533,112,325,1,8,0,325,0,0,1000,ImageNet-1K,1728,84643584,128,2049000,hrnet,hrnet_w64,0.875
ig_resnext101_32x8d,88791336,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,55160832,128,2049000,resnext,ig_resnext101_32x8d,0.875
ig_resnext101_32x16d,194026792,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,123314176,128,2049000,resnext,ig_resnext101_32x16d,0.875
ig_resnext101_32x32d,468530472,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,300318720,128,2049000,resnext,ig_resnext101_32x32d,0.875
ig_resnext101_32x48d,828411176,421,33,104,1,33,1,104,0,0,1000,ImageNet-1K,9408,531587072,128,2049000,resnext,ig_resnext101_32x48d,0.875
inception_resnet_v2,55843464,1008,0,244,1,0,5,204,0,0,1000,ImageNet-1K,928,22535680,5280,1537000,inception_resnet,inception_resnet_v2,0.8975
inception_v3,23834568,300,0,94,1,0,2,94,0,0,1000,ImageNet-1K,928,6076800,5280,2049000,inception_v3,inception_v3,0.875
inception_v4,42679816,680,0,149,1,0,18,149,0,0,1000,ImageNet-1K,41142816,N/A,N/A,1537000,inception_v4,inception_v4,0.875
jx_nest_base,67723368,385,0,3,97,0,2,51,0,48,1000,ImageNet-1K,6272,66500608,1024,513000,nest,jx_nest_base,0.875
jx_nest_small,38351176,385,0,3,97,0,2,51,0,48,1000,ImageNet-1K,4704,37433856,768,385000,nest,jx_nest_small,0.875
jx_nest_tiny,17057608,205,0,3,49,0,2,27,0,24,1000,ImageNet-1K,4704,16140288,768,385000,nest,jx_nest_tiny,0.875
lambda_resnet26rpt_256,10988688,225,0,31,1,5,2,37,0,0,1000,ImageNet-1K,26232,8848384,8848384,2049000,resnet,lambda_resnet26rpt_256,0.94
lambda_resnet26t,10958272,228,0,31,1,5,2,37,0,0,1000,ImageNet-1K,26232,8852320,8852320,2049000,resnet,lambda_resnet26t,0.94
lambda_resnet50ts,21536832,408,0,55,1,11,1,65,0,0,1000,ImageNet-1K,26232,19408608,19408608,2049000,resnet,lambda_resnet50ts,0.95
lamhalobotnet50ts_256,22569824,404,0,58,1,11,0,59,0,0,1000,ImageNet-1K,26232,20441600,20441600,2049000,botnet,lamhalobotnet50ts_256,0.95
lcnet_050,1880856,170,0,32,1,0,0,27,0,0,1000,ImageNet-1K,216,328960,265208,1281000,lcnet,lcnet_050,0.875
lcnet_075,2358288,170,0,32,1,0,0,27,0,0,1000,ImageNet-1K,432,575832,492800,1281000,lcnet,lcnet_075,0.875
lcnet_100,2953800,170,0,32,1,0,0,27,0,0,1000,ImageNet-1K,432,1004784,656640,1281000,lcnet,lcnet_100,0.875
legacy_senet154,115088984,682,0,257,1,50,1,157,0,0,1000,ImageNet-1K,112832,68677888,354864,2049000,senet,legacy_senet154,0.875
legacy_seresnet18,11778592,111,0,36,1,0,1,20,0,0,1000,ImageNet-1K,9536,8460352,149128,513000,seresnet,legacy_seresnet18,0.875
legacy_seresnet34,21958868,199,0,68,1,0,1,36,0,0,1000,ImageNet-1K,9536,13214304,223692,513000,seresnet,legacy_seresnet34,0.875
legacy_seresnet50,28088024,234,0,85,1,16,1,53,0,0,1000,ImageNet-1K,9536,16544128,241200,2049000,seresnet,legacy_seresnet50,0.875
legacy_seresnet101,49326872,455,0,170,1,33,1,104,0,0,1000,ImageNet-1K,9536,29130176,241200,2049000,seresnet,legacy_seresnet101,0.875
legacy_seresnet152,66821848,676,0,255,1,50,1,155,0,0,1000,ImageNet-1K,9536,45371648,241200,2049000,seresnet,legacy_seresnet152,0.875
legacy_seresnext26_32x4d,16790280,130,0,45,1,8,1,29,0,0,1000,ImageNet-1K,9536,11100416,151584,2049000,resnext,legacy_seresnext26_32x4d,0.875
legacy_seresnext50_32x4d,27559896,234,0,85,1,16,1,53,0,0,1000,ImageNet-1K,9536,16124288,231216,2049000,resnext,legacy_seresnext50_32x4d,0.875
legacy_seresnext101_32x4d,48955416,455,0,170,1,33,1,104,0,0,1000,ImageNet-1K,9536,29211072,231216,2049000,resnext,legacy_seresnext101_32x4d,0.875
levit_128,9213936,298,0,4,60,0,0,4,0,14,1000,ImageNet-1K,97680,8336896,385768,385768,levit,levit_128,0.9
levit_128s,7777058,241,0,4,48,0,0,4,0,11,1000,ImageNet-1K,97680,6902528,385768,385768,levit,levit_128s,0.9
levit_192,10947069,298,0,4,60,0,0,4,0,14,1000,ImageNet-1K,219096,9951104,385768,385768,levit,levit_192,0.9
levit_256,18893876,298,0,4,60,0,0,4,0,14,1000,ImageNet-1K,388896,17469952,514024,514024,levit,levit_256,0.9
levit_384,39128836,298,0,4,60,0,0,4,0,14,1000,ImageNet-1K,873648,36703744,770536,770536,levit,levit_384,0.9
maxvit_nano_rw_256,15451148,458,0,40,57,0,4,51,0,28,1000,ImageNet-1K,19360,14897028,1024,513000,maxvit,maxvit_nano_rw_256,0.95
maxvit_rmlp_nano_rw_256,15501452,556,0,40,85,0,4,51,0,28,1000,ImageNet-1K,19360,14947332,1024,513000,maxvit,maxvit_rmlp_nano_rw_256,0.95
maxvit_rmlp_pico_rw_256,7515980,856,0,60,133,0,4,79,0,44,1000,ImageNet-1K,7608,7230700,512,257000,maxvit,maxvit_rmlp_pico_rw_256,0.95
maxvit_rmlp_tiny_rw_256,29148896,856,0,60,133,0,4,79,0,44,1000,ImageNet-1K,19360,28575192,1024,513000,maxvit,maxvit_rmlp_tiny_rw_256,0.95
maxvit_tiny_rw_224,29057312,702,0,60,89,0,4,79,0,44,1000,ImageNet-1K,19360,28483608,1024,513000,maxvit,maxvit_tiny_rw_224,0.95
mixer_b16_224,59880472,199,0,1,49,0,0,25,0,0,1000,ImageNet-1K,590592,58519344,1536,769000,mixer,mixer_b16_224,0.875
mixer_b16_224_in21k,75908739,199,0,1,49,0,0,25,0,0,21843,ImageNet-21K,590592,58519344,1536,16797267,mixer,mixer_b16_224_in21k,0.875
mixer_b16_224_miil,59880472,199,0,1,49,0,0,25,0,0,1000,ImageNet-1K,590592,58519344,1536,769000,mixer,mixer_b16_224_miil,0.875
mixer_b16_224_miil_in21k,67740421,199,0,1,49,0,0,25,0,0,11221,ImageNet-21K-P,590592,58519344,1536,8628949,mixer,mixer_b16_224_miil_in21k,0.875
mixer_l16_224,208196168,391,0,1,97,0,0,49,0,0,1000,ImageNet-1K,787456,206381664,2048,1025000,mixer,mixer_l16_224,0.875
mixer_l16_224_in21k,229560243,391,0,1,97,0,0,49,0,0,21843,ImageNet-21K,787456,206381664,2048,22389075,mixer,mixer_l16_224_in21k,0.875
mixnet_l,7329252,471,0,155,1,0,0,58,0,0,1000,ImageNet-1K,864,5331612,405504,1537000,mixnet,mixnet_l,0.875
mixnet_m,5014382,471,0,155,1,0,0,58,0,0,1000,ImageNet-1K,648,3127822,307200,1537000,mixnet,mixnet_m,0.875
mixnet_s,4134606,390,0,123,1,0,0,49,0,0,1000,ImageNet-1K,432,2257782,307200,1537000,mixnet,mixnet_s,0.875
mixnet_xl,11896768,575,0,192,1,0,0,70,0,0,1000,ImageNet-1K,1080,9786352,491520,1537000,mixnet,mixnet_xl,0.875
mnasnet_100,4383312,272,0,52,1,0,0,52,0,0,1000,ImageNet-1K,864,2653928,409600,1281000,nasnet,mnasnet_100,0.875
mnasnet_small,2030264,282,0,66,1,0,0,46,0,0,1000,ImageNet-1K,216,547800,184320,1281000,nasnet,mnasnet_small,0.875
mobilenetv2_050,1968680,272,0,52,1,0,0,52,0,0,1000,ImageNet-1K,432,463904,204800,1281000,mobilenetv2,mobilenetv2_050,0.875
mobilenetv2_100,3504872,272,0,52,1,0,0,52,0,0,1000,ImageNet-1K,864,1779296,409600,1281000,mobilenetv2,mobilenetv2_100,0.875
mobilenetv2_110d,4516520,347,0,67,1,0,0,67,0,0,1000,ImageNet-1K,864,2736608,450560,1281000,mobilenetv2,mobilenetv2_110d,0.875
mobilenetv2_120d,5831144,407,0,79,1,0,0,79,0,0,1000,ImageNet-1K,864,3993984,491520,1281000,mobilenetv2,mobilenetv2_120d,0.875
mobilenetv2_140,6108776,272,0,52,1,0,0,52,0,0,1000,ImageNet-1K,1296,3463728,802816,1793000,mobilenetv2,mobilenetv2_140,0.875
mobilenetv3_large_100,5483032,279,0,63,1,0,0,46,0,0,1000,ImageNet-1K,432,2947120,1230080,1281000,mobilenetv3,mobilenetv3_large_100,0.875
mobilenetv3_large_100_miil,5483032,279,0,63,1,0,0,46,0,0,1000,ImageNet-1K,432,2947120,1230080,1281000,mobilenetv3,mobilenetv3_large_100_miil,0.875
