Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
adv_inception_v3,23834568,300,0,94,1,0,2,94,0,1000,ImageNet-1K,48,Mixed_6c.branch7x7dbl_2.conv,adv_inception_v3,0.875,inception
bat_resnext26ts,10731200,414,0,79,1,8,1,63,0,1000,ImageNet-1K,57,stages.2.1.attn.ba.conv_p,bat_resnext26ts,0.9,resnext
beit_base_patch16_224,86530984,189,0,1,49,0,0,25,12,1000,ImageNet-1K,1,patch_embed.proj,beit_base_patch16_224,0.9,beit
beit_base_patch16_224_in22k,102557713,189,0,1,49,0,0,25,12,21841,ImageNet-21K,1,patch_embed.proj,beit_base_patch16_224_in22k,0.9,beit
beit_base_patch16_384,86744104,189,0,1,49,0,0,25,12,1000,ImageNet-1K,1,patch_embed.proj,beit_base_patch16_384,1.0,beit
beit_large_patch16_224,304430568,369,0,1,97,0,0,49,24,1000,ImageNet-1K,1,patch_embed.proj,beit_large_patch16_224,0.9,beit
beit_large_patch16_224_in22k,325792593,369,0,1,97,0,0,49,24,21841,ImageNet-21K,1,patch_embed.proj,beit_large_patch16_224_in22k,0.9,beit
beit_large_patch16_384,304998888,369,0,1,97,0,0,49,24,1000,ImageNet-1K,1,patch_embed.proj,beit_large_patch16_384,1.0,beit
beit_large_patch16_512,305674728,369,0,1,97,0,0,49,24,1000,ImageNet-1K,1,patch_embed.proj,beit_large_patch16_512,1.0,beit
beitv2_base_patch16_224,86530984,189,0,1,49,0,0,25,12,1000,ImageNet-1K,1,patch_embed.proj,beitv2_base_patch16_224,0.9,beit
beitv2_base_patch16_224_in22k,102557713,189,0,1,49,0,0,25,12,21841,ImageNet-21K,1,patch_embed.proj,beitv2_base_patch16_224_in22k,0.9,beit
beitv2_large_patch16_224,304430568,369,0,1,97,0,0,49,24,1000,ImageNet-1K,1,patch_embed.proj,beitv2_large_patch16_224,0.95,beit
beitv2_large_patch16_224_in22k,325792593,369,0,1,97,0,0,49,24,21841,ImageNet-21K,1,patch_embed.proj,beitv2_large_patch16_224_in22k,0.9,beit
botnet26t_256,12488672,222,0,31,1,8,2,31,0,1000,ImageNet-1K,10,stages.0.1.conv2_kxk.conv,botnet26t_256,0.95,botnet
cait_m36_384,271221352,655,0,1,229,0,0,77,0,1000,ImageNet-1K,1,patch_embed.proj,cait_m36_384,1.0,cait
cait_m48_448,356460520,859,0,1,301,0,0,101,0,1000,ImageNet-1K,1,patch_embed.proj,cait_m48_448,1.0,cait
cait_s24_224,46916200,451,0,1,157,0,0,53,0,1000,ImageNet-1K,1,patch_embed.proj,cait_s24_224,1.0,cait
cait_s24_384,47062120,451,0,1,157,0,0,53,0,1000,ImageNet-1K,1,patch_embed.proj,cait_s24_384,1.0,cait
cait_s36_384,68366632,655,0,1,229,0,0,77,0,1000,ImageNet-1K,1,patch_embed.proj,cait_s36_384,1.0,cait
cait_xs24_384,26670088,451,0,1,157,0,0,53,0,1000,ImageNet-1K,1,patch_embed.proj,cait_xs24_384,1.0,cait
cait_xxs24_224,11956264,451,0,1,157,0,0,53,0,1000,ImageNet-1K,1,patch_embed.proj,cait_xxs24_224,1.0,cait
cait_xxs24_384,12029224,451,0,1,157,0,0,53,0,1000,ImageNet-1K,1,patch_embed.proj,cait_xxs24_384,1.0,cait
cait_xxs36_224,17299720,655,0,1,229,0,0,77,0,1000,ImageNet-1K,1,patch_embed.proj,cait_xxs36_224,1.0,cait
cait_xxs36_384,17372680,655,0,1,229,0,0,77,0,1000,ImageNet-1K,1,patch_embed.proj,cait_xxs36_384,1.0,cait
coat_lite_mini,11011560,167,0,20,33,0,0,21,0,1000,ImageNet-1K,10,crpe1.conv_list.1,coat_lite_mini,0.9,coat
coat_lite_small,19838504,287,0,20,65,0,0,37,0,1000,ImageNet-1K,10,crpe1.conv_list.1,coat_lite_small,0.9,coat
coat_lite_tiny,5721960,167,0,20,33,0,0,21,0,1000,ImageNet-1K,10,crpe1.conv_list.1,coat_lite_tiny,0.9,coat
coat_mini,10337004,345,0,20,81,0,0,59,0,1000,ImageNet-1K,10,crpe1.conv_list.1,coat_mini,0.9,coat
coat_tiny,5498540,345,0,20,81,0,0,59,0,1000,ImageNet-1K,10,crpe1.conv_list.1,coat_tiny,0.9,coat
coatnet_0_rw_224,27435562,333,0,67,1,0,8,35,18,1000,ImageNet-1K,2,stem.conv2,coatnet_0_rw_224,0.95,coatnet
coatnet_1_rw_224,41721502,535,0,110,1,0,6,58,32,1000,ImageNet-1K,16,stages.1.blocks.0.conv2_kxk,coatnet_1_rw_224,0.95,coatnet
coatnet_bn_0_rw_224,27435562,329,0,67,1,0,6,35,18,1000,ImageNet-1K,5,stages.0.blocks.0.conv2_kxk,coatnet_bn_0_rw_224,0.95,coatnet
coatnet_nano_rw_224,15141244,377,0,76,1,0,8,41,18,1000,ImageNet-1K,2,stem.conv2,coatnet_nano_rw_224,0.9,coatnet
coatnet_rmlp_1_rw_224,41691982,651,0,110,33,0,8,58,32,1000,ImageNet-1K,33,stages.1.blocks.3.conv2_kxk,coatnet_rmlp_1_rw_224,0.95,coatnet
coatnet_rmlp_nano_rw_224,15145116,436,0,76,19,0,6,41,18,1000,ImageNet-1K,9,stages.0.blocks.1.conv2_kxk,coatnet_rmlp_nano_rw_224,0.9,coatnet
convit_base,86540040,208,0,1,69,0,0,25,0,1000,ImageNet-1K,1,patch_embed.proj,convit_base,None,convit
convit_small,27777322,208,0,1,69,0,0,25,0,1000,ImageNet-1K,1,patch_embed.proj,convit_small,None,convit
convit_tiny,5710512,208,0,1,69,0,0,25,0,1000,ImageNet-1K,1,patch_embed.proj,convit_tiny,None,convit
convmixer_768_32,21110248,298,0,65,1,0,0,65,0,1000,ImageNet-1K,16,blocks.7.0.fn.0,convmixer_768_32,0.96,convmixer
convmixer_1024_20_ks9_p14,24383464,190,0,41,1,0,0,41,0,1000,ImageNet-1K,10,blocks.4.0.fn.0,convmixer_1024_20_ks9_p14,0.96,convmixer
convmixer_1536_20,51625960,190,0,41,1,0,0,41,0,1000,ImageNet-1K,10,blocks.4.0.fn.0,convmixer_1536_20,0.96,convmixer
convnext_atto,3695520,152,0,40,1,0,0,17,0,1000,ImageNet-1K,16,stages.2.blocks.0.conv_dw,convnext_atto,0.875,convnext
convnext_atto_ols,3702912,153,0,41,1,0,0,17,0,1000,ImageNet-1K,17,stages.2.blocks.0.conv_dw,convnext_atto_ols,0.875,convnext
convnext_base,88591464,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_base,0.875,convnext
convnext_base_384_in22ft1k,88591464,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_base_384_in22ft1k,1.0,convnext
convnext_base_in22ft1k,88591464,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_base_in22ft1k,0.875,convnext
convnext_base_in22k,109953489,392,0,40,73,0,0,41,0,21841,ImageNet-21K,15,stages.2.blocks.5.conv_dw,convnext_base_in22k,0.875,convnext
convnext_femto,5217784,152,0,40,1,0,0,17,0,1000,ImageNet-1K,16,stages.2.blocks.0.conv_dw,convnext_femto,0.875,convnext
convnext_femto_ols,5226520,153,0,41,1,0,0,17,0,1000,ImageNet-1K,17,stages.2.blocks.0.conv_dw,convnext_femto_ols,0.875,convnext
convnext_large,197767336,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_large,0.875,convnext
convnext_large_384_in22ft1k,197767336,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_large_384_in22ft1k,1.0,convnext
convnext_large_in22ft1k,197767336,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_large_in22ft1k,0.875,convnext
convnext_large_in22k,229799953,392,0,40,73,0,0,41,0,21841,ImageNet-21K,15,stages.2.blocks.5.conv_dw,convnext_large_in22k,0.875,convnext
convnext_nano,15593560,172,0,46,1,0,0,19,0,1000,ImageNet-1K,19,stages.2.blocks.1.conv_dw,convnext_nano,0.95,convnext
convnext_nano_ols,15649560,173,0,47,1,0,0,19,0,1000,ImageNet-1K,20,stages.2.blocks.1.conv_dw,convnext_nano_ols,0.95,convnext
convnext_pico,9045672,152,0,40,1,0,0,17,0,1000,ImageNet-1K,16,stages.2.blocks.0.conv_dw,convnext_pico,0.875,convnext
convnext_pico_ols,9061928,153,0,41,1,0,0,17,0,1000,ImageNet-1K,17,stages.2.blocks.0.conv_dw,convnext_pico_ols,0.95,convnext
convnext_small,50223688,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_small,0.875,convnext
convnext_small_384_in22ft1k,50223688,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_small_384_in22ft1k,1.0,convnext
convnext_small_in22ft1k,50223688,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_small_in22ft1k,0.875,convnext
convnext_small_in22k,66250417,392,0,40,73,0,0,41,0,21841,ImageNet-21K,15,stages.2.blocks.5.conv_dw,convnext_small_in22k,0.875,convnext
convnext_tiny,28589128,212,0,22,37,0,0,23,0,1000,ImageNet-1K,11,stages.2.blocks.1.conv_dw,convnext_tiny,0.875,convnext
convnext_tiny_384_in22ft1k,28589128,212,0,22,37,0,0,23,0,1000,ImageNet-1K,11,stages.2.blocks.1.conv_dw,convnext_tiny_384_in22ft1k,1.0,convnext
convnext_tiny_hnf,28589128,212,0,58,1,0,0,23,0,1000,ImageNet-1K,25,stages.2.blocks.1.conv_dw,convnext_tiny_hnf,0.95,convnext
convnext_tiny_in22ft1k,28589128,212,0,22,37,0,0,23,0,1000,ImageNet-1K,11,stages.2.blocks.1.conv_dw,convnext_tiny_in22ft1k,0.875,convnext
convnext_tiny_in22k,44615857,212,0,22,37,0,0,23,0,21841,ImageNet-21K,11,stages.2.blocks.1.conv_dw,convnext_tiny_in22k,0.875,convnext
convnext_xlarge_384_in22ft1k,350196968,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_xlarge_384_in22ft1k,1.0,convnext
convnext_xlarge_in22ft1k,350196968,392,0,40,73,0,0,41,0,1000,ImageNet-1K,15,stages.2.blocks.5.conv_dw,convnext_xlarge_in22ft1k,0.875,convnext
convnext_xlarge_in22k,392900177,392,0,40,73,0,0,41,0,21841,ImageNet-21K,15,stages.2.blocks.5.conv_dw,convnext_xlarge_in22k,0.875,convnext
crossvit_9_240,8553296,359,0,2,86,0,0,44,24,1000,ImageNet-1K,1,patch_embed.0.proj,crossvit_9_240,0.875,crossvit
crossvit_9_dagger_240,8776592,369,0,6,86,0,0,44,24,1000,ImageNet-1K,4,patch_embed.1.proj.0,crossvit_9_dagger_240,0.875,crossvit
crossvit_15_240,27528464,467,0,2,110,0,0,56,30,1000,ImageNet-1K,1,patch_embed.0.proj,crossvit_15_240,0.875,crossvit
crossvit_15_dagger_240,28209008,477,0,6,110,0,0,56,30,1000,ImageNet-1K,4,patch_embed.1.proj.0,crossvit_15_dagger_240,0.875,crossvit
crossvit_15_dagger_408,28500080,477,0,6,110,0,0,56,30,1000,ImageNet-1K,4,patch_embed.1.proj.0,crossvit_15_dagger_408,1.0,crossvit
crossvit_18_240,43271408,521,0,2,122,0,0,62,33,1000,ImageNet-1K,1,patch_embed.0.proj,crossvit_18_240,0.875,crossvit
crossvit_18_dagger_240,44266976,531,0,6,122,0,0,62,33,1000,ImageNet-1K,4,patch_embed.1.proj.0,crossvit_18_dagger_240,0.875,crossvit
crossvit_18_dagger_408,44606560,531,0,6,122,0,0,62,33,1000,ImageNet-1K,4,patch_embed.1.proj.0,crossvit_18_dagger_408,1.0,crossvit
crossvit_base_240,105025232,413,0,2,98,0,0,50,27,1000,ImageNet-1K,1,patch_embed.0.proj,crossvit_base_240,0.875,crossvit
crossvit_small_240,26856272,413,0,2,98,0,0,50,27,1000,ImageNet-1K,1,patch_embed.0.proj,crossvit_small_240,0.875,crossvit
crossvit_tiny_240,7014800,413,0,2,98,0,0,50,27,1000,ImageNet-1K,1,patch_embed.0.proj,crossvit_tiny_240,0.875,crossvit
cs3darknet_focus_l,21151720,359,0,55,1,0,0,55,0,1000,ImageNet-1K,26,stages.2.conv_down.conv,cs3darknet_focus_l,0.887,darknet
cs3darknet_focus_m,9304360,268,0,41,1,0,0,41,0,1000,ImageNet-1K,20,stages.2.conv_down.conv,cs3darknet_focus_m,0.887,darknet
cs3darknet_l,21164168,364,0,56,1,0,0,56,0,1000,ImageNet-1K,27,stages.2.conv_down.conv,cs3darknet_l,0.887,darknet
cs3darknet_m,9310240,273,0,42,1,0,0,42,0,1000,ImageNet-1K,21,stages.2.conv_down.conv,cs3darknet_m,0.887,darknet
cs3darknet_x,35046320,403,0,62,1,0,0,62,0,1000,ImageNet-1K,29,stages.2.conv_down.conv,cs3darknet_x,0.95,darknet
cs3edgenet_x,47821120,403,0,62,1,0,0,62,0,1000,ImageNet-1K,29,stages.2.conv_down.conv,cs3edgenet_x,0.887,edgenet
cs3se_edgenet_x,50721584,523,0,110,1,0,0,62,0,1000,ImageNet-1K,49,stages.2.conv_down.conv,cs3se_edgenet_x,0.95,edgenet
cs3sedarknet_l,21913592,469,0,98,1,0,0,56,0,1000,ImageNet-1K,45,stages.2.conv_down.conv,cs3sedarknet_l,0.887,darknet
cs3sedarknet_x,35397904,523,0,110,1,0,0,62,0,1000,ImageNet-1K,49,stages.2.conv_down.conv,cs3sedarknet_x,0.887,darknet
cspdarknet53,27642184,428,0,67,1,0,0,67,0,1000,ImageNet-1K,36,stages.3.conv_down.conv,cspdarknet53,0.887,darknet
cspresnet50,21616168,362,0,55,1,13,1,55,0,1000,ImageNet-1K,28,stages.2.conv_down.conv,cspresnet50,0.887,resnet
cspresnext50,20569896,362,0,55,1,13,1,55,0,1000,ImageNet-1K,28,stages.2.conv_down.conv,cspresnext50,0.887,resnext
darknet53,41609928,353,0,52,1,0,0,52,0,1000,ImageNet-1K,27,stages.3.conv_down.conv,darknet53,0.887,darknet
darknetaa53,36022984,363,0,52,1,0,5,52,0,1000,ImageNet-1K,14,stages.2.blocks.1.conv2.conv,darknetaa53,0.887,darknet
deit3_base_patch16_224,86585320,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_base_patch16_224,0.9,deit
deit3_base_patch16_224_in21ft1k,86585320,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_base_patch16_224_in21ft1k,1.0,deit
deit3_base_patch16_384,86877160,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_base_patch16_384,1.0,deit
deit3_base_patch16_384_in21ft1k,86877160,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_base_patch16_384_in21ft1k,1.0,deit
deit3_huge_patch14_224,632126440,586,0,1,129,0,0,65,33,1000,ImageNet-1K,1,patch_embed.proj,deit3_huge_patch14_224,0.9,deit
deit3_huge_patch14_224_in21ft1k,632126440,586,0,1,129,0,0,65,33,1000,ImageNet-1K,1,patch_embed.proj,deit3_huge_patch14_224_in21ft1k,1.0,deit
deit3_large_patch16_224,304374760,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,deit3_large_patch16_224,0.9,deit
deit3_large_patch16_224_in21ft1k,304374760,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,deit3_large_patch16_224_in21ft1k,1.0,deit
deit3_large_patch16_384,304763880,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,deit3_large_patch16_384,1.0,deit
deit3_large_patch16_384_in21ft1k,304763880,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,deit3_large_patch16_384_in21ft1k,1.0,deit
deit3_medium_patch16_224,38849512,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_medium_patch16_224,0.9,deit
deit3_medium_patch16_224_in21ft1k,38849512,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_medium_patch16_224_in21ft1k,1.0,deit
deit3_small_patch16_224,22059496,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_small_patch16_224,0.9,deit
deit3_small_patch16_224_in21ft1k,22059496,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_small_patch16_224_in21ft1k,1.0,deit
deit3_small_patch16_384,22205416,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_small_patch16_384,1.0,deit
deit3_small_patch16_384_in21ft1k,22205416,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit3_small_patch16_384_in21ft1k,1.0,deit
deit_base_distilled_patch16_224,87338192,227,0,1,50,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_base_distilled_patch16_224,0.9,deit
deit_base_distilled_patch16_384,87630032,227,0,1,50,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_base_distilled_patch16_384,1.0,deit
deit_base_patch16_224,86567656,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_base_patch16_224,0.9,deit
deit_base_patch16_384,86859496,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_base_patch16_384,1.0,deit
deit_small_distilled_patch16_224,22436432,227,0,1,50,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_small_distilled_patch16_224,0.9,deit
deit_small_patch16_224,22050664,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_small_patch16_224,0.9,deit
deit_tiny_distilled_patch16_224,5910800,227,0,1,50,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_tiny_distilled_patch16_224,0.9,deit
deit_tiny_patch16_224,5717416,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,deit_tiny_patch16_224,0.9,deit
densenet121,7978856,558,0,120,1,0,4,121,0,1000,ImageNet-1K,29,features.denseblock2.denselayer7.conv2,densenet121,0.875,densenet
densenet161,28681000,738,0,160,1,0,4,161,0,1000,ImageNet-1K,39,features.denseblock2.denselayer12.conv2,densenet161,0.875,densenet
densenet169,14149480,774,0,168,1,0,4,169,0,1000,ImageNet-1K,42,features.denseblock3.denselayer1.conv2,densenet169,0.875,densenet
densenet201,20013928,918,0,200,1,0,4,201,0,1000,ImageNet-1K,50,features.denseblock3.denselayer5.conv2,densenet201,0.875,densenet
densenetblur121d,7998088,568,0,122,1,0,4,123,0,1000,ImageNet-1K,29,features.denseblock2.denselayer6.conv2,densenetblur121d,0.875,densenet
dla34,15742104,146,0,38,0,0,6,37,0,1000,ImageNet-1K,32,level4.tree2.tree1.conv1,dla34,0.875,dla
dla46_c,1301400,168,0,49,0,12,6,48,0,1000,ImageNet-1K,36,level4.tree1.tree2.conv2,dla46_c,0.875,dla
dla46x_c,1068440,168,0,49,0,12,6,48,0,1000,ImageNet-1K,36,level4.tree1.tree2.conv2,dla46x_c,0.875,dla
dla60,22036632,222,0,64,0,16,7,63,0,1000,ImageNet-1K,45,level4.tree1.tree2.tree2.conv2,dla60,0.875,dla
dla60_res2net,20848072,322,0,96,0,0,11,95,0,1000,ImageNet-1K,86,level4.tree2.tree2.tree2.convs.1,dla60_res2net,0.875,res2net
dla60_res2next,17032984,322,0,96,0,0,11,95,0,1000,ImageNet-1K,86,level4.tree2.tree2.tree2.convs.1,dla60_res2next,0.875,res2next
dla60x,17352344,222,0,64,0,16,7,63,0,1000,ImageNet-1K,45,level4.tree1.tree2.tree2.conv2,dla60x,0.875,dla
dla60x_c,1319832,220,0,63,0,16,7,62,0,1000,ImageNet-1K,44,level4.tree1.tree2.tree2.conv2,dla60x_c,0.875,dla
dla102,33268888,378,0,106,0,28,9,105,0,1000,ImageNet-1K,68,level4.tree1.tree2.tree1.tree2.conv2,dla102,0.875,dla
dla102x,26309272,378,0,106,0,28,9,105,0,1000,ImageNet-1K,68,level4.tree1.tree2.tree1.tree2.conv2,dla102x,0.875,dla
dla102x2,41282200,378,0,106,0,28,9,105,0,1000,ImageNet-1K,68,level4.tree1.tree2.tree1.tree2.conv2,dla102x2,0.875,dla
dla169,53389720,612,0,169,0,46,11,168,0,1000,ImageNet-1K,91,level4.tree1.tree2.tree1.tree1.tree2.conv2,dla169,0.875,dla
dm_nfnet_f0,71489284,226,0,81,1,0,3,0,0,1000,ImageNet-1K,34,stages.2.1.conv2b,dm_nfnet_f0,0.9,nfnet
dm_nfnet_f1,132634256,418,0,153,1,0,3,0,0,1000,ImageNet-1K,64,stages.2.3.conv2b,dm_nfnet_f1,0.91,nfnet
dm_nfnet_f2,193779228,610,0,225,1,0,3,0,0,1000,ImageNet-1K,94,stages.2.5.conv2b,dm_nfnet_f2,0.92,nfnet
dm_nfnet_f3,254924200,802,0,297,1,0,3,0,0,1000,ImageNet-1K,124,stages.2.7.conv2b,dm_nfnet_f3,0.94,nfnet
dm_nfnet_f4,316069172,994,0,369,1,0,3,0,0,1000,ImageNet-1K,159,stages.2.10.conv2,dm_nfnet_f4,0.951,nfnet
dm_nfnet_f5,377214144,1186,0,441,1,0,3,0,0,1000,ImageNet-1K,189,stages.2.12.conv2,dm_nfnet_f5,0.954,nfnet
dm_nfnet_f6,438359116,1378,0,513,1,0,3,0,0,1000,ImageNet-1K,219,stages.2.14.conv2,dm_nfnet_f6,0.956,nfnet
dpn68,12611602,389,0,72,0,0,1,72,0,1000,ImageNet-1K,40,features.conv4_5.c3x3_b.conv,dpn68,0.875,dpn
dpn68b,12611602,411,0,94,0,0,1,72,0,1000,ImageNet-1K,51,features.conv4_5.c3x3_b.conv,dpn68b,0.875,dpn
dpn92,37668392,517,0,96,0,0,1,96,0,1000,ImageNet-1K,46,features.conv4_7.c3x3_b.conv,dpn92,0.875,dpn
dpn98,61570728,549,0,102,0,0,1,102,0,1000,ImageNet-1K,52,features.conv4_7.c3x3_b.conv,dpn98,0.875,dpn
dpn107,86917800,597,0,111,0,0,1,111,0,1000,ImageNet-1K,58,features.conv4_6.c3x3_b.conv,dpn107,0.875,dpn
dpn131,79254504,725,0,135,0,0,1,135,0,1000,ImageNet-1K,64,features.conv4_8.c3x3_b.conv,dpn131,0.875,dpn
eca_botnext26ts_256,10593301,232,0,31,1,8,2,31,0,1000,ImageNet-1K,10,stages.0.1.conv2_kxk.conv,eca_botnext26ts_256,0.95,botnext
eca_halonext26ts,10756885,235,0,34,1,5,1,31,0,1000,ImageNet-1K,10,stages.0.1.conv2_kxk.conv,eca_halonext26ts,0.94,halonext
