Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
tinynet_c,2457234,302,0,76,1,0,0,46,0,1000,ImageNet-1K,42,blocks.4.0.conv_dw,tinynet_c,0.875,tinynet
tinynet_d,2338446,226,0,56,1,0,0,34,0,1000,ImageNet-1K,27,blocks.4.0.conv_dw,tinynet_d,0.875,tinynet
tinynet_e,2042972,207,0,51,1,0,0,31,0,1000,ImageNet-1K,27,blocks.4.0.conv_dw,tinynet_e,0.875,tinynet
tnt_s_patch16_224,23755336,395,0,1,134,0,0,63,24,1000,ImageNet-1K,1,pixel_embed.proj,tnt_s_patch16_224,0.9,tnt
tresnet_l,55989256,502,30,139,1,21,3,0,0,1000,ImageNet-1K,18,body.layer2.0.conv1.0.0,tresnet_l,0.875,resnet
tresnet_l_448,55989256,502,30,139,1,21,3,0,0,1000,ImageNet-1K,18,body.layer2.0.conv1.0.0,tresnet_l_448,0.875,resnet
tresnet_m,31389032,355,21,96,1,14,3,0,0,1000,ImageNet-1K,11,body.layer1.2.conv2.0,tresnet_m,0.875,resnet
tresnet_m_448,31389032,355,21,96,1,14,3,0,0,1000,ImageNet-1K,11,body.layer1.2.conv2.0,tresnet_m_448,0.875,resnet
tresnet_m_miil_in21k,52331861,355,21,96,1,14,3,0,0,11221,ImageNet-21K-P,11,body.layer1.2.conv2.0,tresnet_m_miil_in21k,0.875,resnet
tresnet_v2_l,46174824,584,33,164,1,33,3,0,0,1000,ImageNet-1K,35,body.layer2.3.conv2.0,tresnet_v2_l,0.875,resnet
tresnet_xl,78436244,604,36,169,1,27,3,0,0,1000,ImageNet-1K,19,body.layer2.0.conv2.0,tresnet_xl,0.875,resnet
tresnet_xl_448,78436244,604,36,169,1,27,3,0,0,1000,ImageNet-1K,19,body.layer2.0.conv2.0,tresnet_xl_448,0.875,resnet
tv_densenet121,7978856,558,0,120,1,0,4,121,0,1000,ImageNet-1K,29,features.denseblock2.denselayer7.conv2,tv_densenet121,0.875,densenet
tv_resnet34,21797672,166,16,36,1,0,1,36,0,1000,ImageNet-1K,25,layer3.3.conv1,tv_resnet34,0.875,resnet
tv_resnet50,25557032,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,tv_resnet50,0.875,resnet
tv_resnet101,44549160,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,tv_resnet101,0.875,resnet
tv_resnet152,60192808,625,50,155,1,50,1,155,0,1000,ImageNet-1K,67,layer3.9.conv2,tv_resnet152,0.875,resnet
tv_resnext50_32x4d,25028904,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,tv_resnext50_32x4d,0.875,resnext
twins_pcpvt_base,43828456,537,0,33,141,0,0,86,0,1000,ImageNet-1K,30,pos_block.0.proj.0,twins_pcpvt_base,0.9,twins
twins_pcpvt_large,60989672,771,0,46,206,0,0,125,0,1000,ImageNet-1K,43,pos_block.0.proj.0,twins_pcpvt_large,0.9,twins
twins_pcpvt_small,24106216,321,0,21,81,0,0,50,0,1000,ImageNet-1K,18,pos_block.0.proj.0,twins_pcpvt_small,0.9,twins
twins_svt_base,56070952,433,0,19,109,0,0,64,0,1000,ImageNet-1K,16,pos_block.0.proj.0,twins_svt_base,0.9,twins
twins_svt_large,99271400,433,0,19,109,0,0,64,0,1000,ImageNet-1K,16,pos_block.0.proj.0,twins_svt_large,0.9,twins
twins_svt_small,24060776,332,0,15,82,0,0,48,0,1000,ImageNet-1K,12,pos_block.0.proj.0,twins_svt_small,0.9,twins
vgg11,132863336,35,0,10,1,0,5,0,0,1000,ImageNet-1K,10,features.15,vgg11,0.875,vgg
vgg11_bn,132868840,43,0,10,1,0,5,8,0,1000,ImageNet-1K,10,features.21,vgg11_bn,0.875,vgg
vgg13,133047848,39,0,12,1,0,5,0,0,1000,ImageNet-1K,12,features.19,vgg13,0.875,vgg
vgg13_bn,133053736,49,0,12,1,0,5,10,0,1000,ImageNet-1K,12,features.27,vgg13_bn,0.875,vgg
vgg16,138357544,45,0,15,1,0,5,0,0,1000,ImageNet-1K,14,features.23,vgg16,0.875,vgg
vgg16_bn,138365992,58,0,15,1,0,5,13,0,1000,ImageNet-1K,14,features.33,vgg16_bn,0.875,vgg
vgg19,143667240,51,0,18,1,0,5,0,0,1000,ImageNet-1K,15,features.25,vgg19,0.875,vgg
vgg19_bn,143678248,67,0,18,1,0,5,16,0,1000,ImageNet-1K,15,features.36,vgg19_bn,0.875,vgg
visformer_small,40219592,220,0,57,1,0,0,28,8,1000,ImageNet-1K,7,stage1.1.mlp.conv2,visformer_small,0.9,visformer
vit_base_patch8_224,86576872,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch8_224,0.9,vit
vit_base_patch8_224_dino,85807872,226,0,1,48,0,0,25,13,768,ImageNet-1K,1,patch_embed.proj,vit_base_patch8_224_dino,0.9,vit
vit_base_patch8_224_in21k,102605139,226,0,1,49,0,0,25,13,21843,ImageNet-21K,1,patch_embed.proj,vit_base_patch8_224_in21k,0.9,vit
vit_base_patch16_224,86567656,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch16_224,0.9,vit
vit_base_patch16_224_dino,85798656,226,0,1,48,0,0,25,13,768,ImageNet-1K,1,patch_embed.proj,vit_base_patch16_224_dino,0.9,vit
vit_base_patch16_224_in21k,102595923,226,0,1,49,0,0,25,13,21843,ImageNet-21K,1,patch_embed.proj,vit_base_patch16_224_in21k,0.9,vit
vit_base_patch16_224_miil,86540008,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch16_224_miil,0.875,vit
vit_base_patch16_224_miil_in21k,94399957,226,0,1,49,0,0,25,13,11221,ImageNet-21K-P,1,patch_embed.proj,vit_base_patch16_224_miil_in21k,0.875,vit
vit_base_patch16_224_sam,86567656,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch16_224_sam,0.9,vit
vit_base_patch16_384,86859496,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch16_384,1.0,vit
vit_base_patch16_rpn_224,86538472,202,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch16_rpn_224,0.9,vit
vit_base_patch32_224,88224232,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch32_224,0.9,vit
vit_base_patch32_224_clip_laion2b,87849728,226,0,1,49,0,0,26,13,512,LAION-2B,1,patch_embed.proj,vit_base_patch32_224_clip_laion2b,0.9,vit
vit_base_patch32_224_in21k,104252499,226,0,1,49,0,0,25,13,21843,ImageNet-21K,1,patch_embed.proj,vit_base_patch32_224_in21k,0.9,vit
vit_base_patch32_224_sam,88224232,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch32_224_sam,0.9,vit
vit_base_patch32_384,88297192,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_base_patch32_384,1.0,vit
vit_base_r50_s16_224_in21k,114687379,501,16,53,49,16,1,25,13,21843,ImageNet-21K,31,patch_embed.backbone.stages.2.blocks.1.conv2,vit_base_r50_s16_224_in21k,0.9,vit
vit_base_r50_s16_384,98950952,501,16,53,49,16,1,25,13,1000,ImageNet-1K,31,patch_embed.backbone.stages.2.blocks.1.conv2,vit_base_r50_s16_384,1.0,vit
vit_giant_patch14_224_clip_laion2b,1012646656,730,0,1,161,0,0,82,41,1024,LAION-2B,1,patch_embed.proj,vit_giant_patch14_224_clip_laion2b,0.9,vit
vit_huge_patch14_224_clip_laion2b,632077824,586,0,1,129,0,0,66,33,1024,LAION-2B,1,patch_embed.proj,vit_huge_patch14_224_clip_laion2b,0.9,vit
vit_huge_patch14_224_in21k,658745683,586,0,1,129,0,0,65,33,21843,ImageNet-21K,1,patch_embed.proj,vit_huge_patch14_224_in21k,0.9,vit
vit_large_patch14_224_clip_laion2b,303966976,442,0,1,97,0,0,50,25,768,ImageNet-1K,1,patch_embed.proj,vit_large_patch14_224_clip_laion2b,0.9,vit
vit_large_patch16_224,304326632,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,vit_large_patch16_224,0.9,vit
vit_large_patch16_224_in21k,325690707,442,0,1,97,0,0,49,25,21843,ImageNet-21K,1,patch_embed.proj,vit_large_patch16_224_in21k,0.9,vit
vit_large_patch16_384,304715752,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,vit_large_patch16_384,1.0,vit
vit_large_patch32_224_in21k,327899475,442,0,1,97,0,0,49,25,21843,ImageNet-21K,1,patch_embed.proj,vit_large_patch32_224_in21k,0.9,vit
vit_large_patch32_384,306632680,442,0,1,97,0,0,49,25,1000,ImageNet-1K,1,patch_embed.proj,vit_large_patch32_384,1.0,vit
vit_large_r50_s32_224,328994856,724,16,54,97,16,1,49,25,1000,ImageNet-1K,37,patch_embed.backbone.stages.2.blocks.3.conv2,vit_large_r50_s32_224,0.9,vit
vit_large_r50_s32_224_in21k,350358931,724,16,54,97,16,1,49,25,21843,ImageNet-21K,37,patch_embed.backbone.stages.2.blocks.3.conv2,vit_large_r50_s32_224_in21k,0.9,vit
vit_large_r50_s32_384,329092136,724,16,54,97,16,1,49,25,1000,ImageNet-1K,37,patch_embed.backbone.stages.2.blocks.3.conv2,vit_large_r50_s32_384,1.0,vit
vit_relpos_base_patch16_224,86429560,320,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_base_patch16_224,0.9,relpos
vit_relpos_base_patch16_clsgap_224,86430328,320,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_base_patch16_clsgap_224,0.9,relpos
vit_relpos_base_patch32_plus_rpn_256,119423760,296,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_base_patch32_plus_rpn_256,0.9,relpos
vit_relpos_medium_patch16_224,38747208,320,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_medium_patch16_224,0.9,relpos
vit_relpos_medium_patch16_cls_224,38764616,320,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_medium_patch16_cls_224,0.9,relpos
vit_relpos_medium_patch16_rpn_224,38734920,296,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_medium_patch16_rpn_224,0.9,relpos
vit_relpos_small_patch16_224,21983920,320,0,1,73,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_relpos_small_patch16_224,0.9,relpos
vit_small_patch8_224_dino,21670272,226,0,1,48,0,0,25,13,384,ImageNet-1K,1,patch_embed.proj,vit_small_patch8_224_dino,0.9,vit
vit_small_patch16_224,22050664,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_small_patch16_224,0.9,vit
vit_small_patch16_224_dino,21665664,226,0,1,48,0,0,25,13,384,ImageNet-1K,1,patch_embed.proj,vit_small_patch16_224_dino,0.9,vit
vit_small_patch16_224_in21k,30075219,226,0,1,49,0,0,25,13,21843,ImageNet-21K,1,patch_embed.proj,vit_small_patch16_224_in21k,0.9,vit
vit_small_patch16_384,22196584,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_small_patch16_384,1.0,vit
vit_small_patch32_224,22878952,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_small_patch32_224,0.9,vit
vit_small_patch32_224_in21k,30903507,226,0,1,49,0,0,25,13,21843,ImageNet-21K,1,patch_embed.proj,vit_small_patch32_224_in21k,0.9,vit
vit_small_patch32_384,22915432,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_small_patch32_384,1.0,vit
vit_small_r26_s32_224,36431912,388,8,30,49,8,1,25,13,1000,ImageNet-1K,22,patch_embed.backbone.stages.2.blocks.1.conv2,vit_small_r26_s32_224,0.9,vit
vit_small_r26_s32_224_in21k,44456467,388,8,30,49,8,1,25,13,21843,ImageNet-21K,22,patch_embed.backbone.stages.2.blocks.1.conv2,vit_small_r26_s32_224_in21k,0.9,vit
vit_small_r26_s32_384,36468392,388,8,30,49,8,1,25,13,1000,ImageNet-1K,22,patch_embed.backbone.stages.2.blocks.1.conv2,vit_small_r26_s32_384,1.0,vit
vit_srelpos_medium_patch16_224,38735856,232,0,1,51,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_srelpos_medium_patch16_224,0.9,relpos
vit_srelpos_small_patch16_224,21973486,232,0,1,51,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_srelpos_small_patch16_224,0.9,relpos
vit_tiny_patch16_224,5717416,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_tiny_patch16_224,0.9,vit
vit_tiny_patch16_224_in21k,9740115,226,0,1,49,0,0,25,13,21843,ImageNet-21K,1,patch_embed.proj,vit_tiny_patch16_224_in21k,0.9,vit
vit_tiny_patch16_384,5790376,226,0,1,49,0,0,25,13,1000,ImageNet-1K,1,patch_embed.proj,vit_tiny_patch16_384,1.0,vit
vit_tiny_r_s16_p8_224,6337704,231,0,2,49,0,1,25,13,1000,ImageNet-1K,2,patch_embed.backbone.pool,vit_tiny_r_s16_p8_224,0.9,vit
vit_tiny_r_s16_p8_224_in21k,10360403,231,0,2,49,0,1,25,13,21843,ImageNet-21K,2,patch_embed.backbone.pool,vit_tiny_r_s16_p8_224_in21k,0.9,vit
vit_tiny_r_s16_p8_384,6355944,231,0,2,49,0,1,25,13,1000,ImageNet-1K,2,patch_embed.backbone.pool,vit_tiny_r_s16_p8_384,1.0,vit
volo_d1_224,26632040,339,0,5,88,0,4,44,34,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d1_224,0.96,volo
volo_d1_384,26777960,339,0,5,88,0,4,44,34,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d1_384,1.0,volo
volo_d2_224,58678336,435,0,5,114,0,6,56,44,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d2_224,0.96,volo
volo_d2_384,58872896,435,0,5,114,0,6,56,44,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d2_384,1.0,volo
volo_d3_224,86325072,621,0,5,164,0,8,80,66,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d3_224,0.96,volo
volo_d3_448,86626128,621,0,5,164,0,8,80,66,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d3_448,1.0,volo
volo_d4_224,192961520,621,0,5,164,0,8,80,66,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d4_224,0.96,volo
volo_d4_448,193413104,621,0,5,164,0,8,80,66,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d4_448,1.15,volo
volo_d5_224,295455584,813,0,5,216,0,12,104,86,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d5_224,0.96,volo
volo_d5_448,295907168,813,0,5,216,0,12,104,86,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d5_448,1.15,volo
volo_d5_512,296091488,813,0,5,216,0,12,104,86,1000,ImageNet-1K,1,patch_embed.conv.0,volo_d5_512,1.15,volo
wide_resnet50_2,68883240,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,wide_resnet50_2,0.875,resnet
wide_resnet101_2,126886696,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,wide_resnet101_2,0.875,resnet
xception,22855952,216,0,74,1,0,4,40,0,1000,ImageNet-1K,35,block6.rep.4.conv1,xception,0.8975,xception
xception41,26969560,375,0,84,1,0,0,84,0,1000,ImageNet-1K,40,blocks.5.stack.conv3.conv_dw,xception41,0.903,xception
xception41p,26907752,302,0,84,1,0,0,40,0,1000,ImageNet-1K,40,blocks.5.stack.conv3.conv_dw,xception41p,0.94,xception
xception65,39916312,583,0,132,1,0,0,132,0,1000,ImageNet-1K,52,blocks.7.stack.conv3.conv_dw,xception65,0.94,xception
xception65p,39819560,478,0,132,1,0,0,64,0,1000,ImageNet-1K,52,blocks.7.stack.conv3.conv_dw,xception65p,0.94,xception
xception71,42338736,645,0,146,1,0,0,146,0,1000,ImageNet-1K,64,blocks.9.stack.conv2.conv_dw,xception71,0.903,xception
xcit_large_24_p8_224,188932648,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_large_24_p8_224,1.0,xcit
xcit_large_24_p8_224_dist,188932648,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_large_24_p8_224_dist,1.0,xcit
xcit_large_24_p8_384_dist,188932648,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_large_24_p8_384_dist,1.0,xcit
xcit_large_24_p16_224,189096136,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_large_24_p16_224,1.0,xcit
xcit_large_24_p16_224_dist,189096136,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_large_24_p16_224_dist,1.0,xcit
xcit_large_24_p16_384_dist,189096136,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_large_24_p16_384_dist,1.0,xcit
xcit_medium_24_p8_224,84323624,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_medium_24_p8_224,1.0,xcit
xcit_medium_24_p8_224_dist,84323624,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_medium_24_p8_224_dist,1.0,xcit
xcit_medium_24_p8_384_dist,84323624,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_medium_24_p8_384_dist,1.0,xcit
xcit_medium_24_p16_224,84395752,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_medium_24_p16_224,1.0,xcit
xcit_medium_24_p16_224_dist,84395752,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_medium_24_p16_224_dist,1.0,xcit
xcit_medium_24_p16_384_dist,84395752,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_medium_24_p16_384_dist,1.0,xcit
xcit_nano_12_p8_224,3049016,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_nano_12_p8_224,1.0,xcit
xcit_nano_12_p8_224_dist,3049016,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_nano_12_p8_224_dist,1.0,xcit
xcit_nano_12_p8_384_dist,3049016,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_nano_12_p8_384_dist,1.0,xcit
xcit_nano_12_p16_224,3053224,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_nano_12_p16_224,1.0,xcit
xcit_nano_12_p16_224_dist,3053224,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_nano_12_p16_224_dist,1.0,xcit
xcit_nano_12_p16_384_dist,3053224,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_nano_12_p16_384_dist,1.0,xcit
xcit_small_12_p8_224,26213032,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_small_12_p8_224,1.0,xcit
xcit_small_12_p8_224_dist,26213032,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_small_12_p8_224_dist,1.0,xcit
xcit_small_12_p8_384_dist,26213032,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_small_12_p8_384_dist,1.0,xcit
xcit_small_12_p16_224,26253304,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_small_12_p16_224,1.0,xcit
xcit_small_12_p16_224_dist,26253304,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_small_12_p16_224_dist,1.0,xcit
xcit_small_12_p16_384_dist,26253304,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_small_12_p16_384_dist,1.0,xcit
xcit_small_24_p8_224,47631112,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_small_24_p8_224,1.0,xcit
xcit_small_24_p8_224_dist,47631112,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_small_24_p8_224_dist,1.0,xcit
xcit_small_24_p8_384_dist,47631112,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_small_24_p8_384_dist,1.0,xcit
xcit_small_24_p16_224,47671384,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_small_24_p16_224,1.0,xcit
xcit_small_24_p16_224_dist,47671384,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_small_24_p16_224_dist,1.0,xcit
xcit_small_24_p16_384_dist,47671384,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_small_24_p16_384_dist,1.0,xcit
xcit_tiny_12_p8_224,6706504,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_tiny_12_p8_224,1.0,xcit
xcit_tiny_12_p8_224_dist,6706504,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_tiny_12_p8_224_dist,1.0,xcit
xcit_tiny_12_p8_384_dist,6706504,307,0,28,61,0,0,56,2,1000,ImageNet-1K,9,blocks.2.local_mp.conv1,xcit_tiny_12_p8_384_dist,1.0,xcit
xcit_tiny_12_p16_224,6716272,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_tiny_12_p16_224,1.0,xcit
xcit_tiny_12_p16_224_dist,6716272,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_tiny_12_p16_224_dist,1.0,xcit
xcit_tiny_12_p16_384_dist,6716272,311,0,29,61,0,0,57,2,1000,ImageNet-1K,10,blocks.2.local_mp.conv1,xcit_tiny_12_p16_384_dist,1.0,xcit
xcit_tiny_24_p8_224,12107128,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_tiny_24_p8_224,1.0,xcit
xcit_tiny_24_p8_224_dist,12107128,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_tiny_24_p8_224_dist,1.0,xcit
xcit_tiny_24_p8_384_dist,12107128,559,0,52,109,0,0,104,2,1000,ImageNet-1K,15,blocks.5.local_mp.conv1,xcit_tiny_24_p8_384_dist,1.0,xcit
xcit_tiny_24_p16_224,12116896,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_tiny_24_p16_224,1.0,xcit
xcit_tiny_24_p16_224_dist,12116896,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_tiny_24_p16_224_dist,1.0,xcit
xcit_tiny_24_p16_384_dist,12116896,563,0,53,109,0,0,105,2,1000,ImageNet-1K,16,blocks.5.local_mp.conv1,xcit_tiny_24_p16_384_dist,1.0,xcit
